fips,state,county,popestimate2019,stname,ctyname
1000,1,0,4903185,Alabama,Alabama
1001,1,1,55869,Alabama,Autauga County
1003,1,3,223234,Alabama,Baldwin County
1005,1,5,24686,Alabama,Barbour County
1007,1,7,22394,Alabama,Bibb County
1009,1,9,57826,Alabama,Blount County
1011,1,11,10101,Alabama,Bullock County
1013,1,13,19448,Alabama,Butler County
1015,1,15,113605,Alabama,Calhoun County
1017,1,17,33254,Alabama,Chambers County
1019,1,19,26196,Alabama,Cherokee County
1021,1,21,44428,Alabama,Chilton County
1023,1,23,12589,Alabama,Choctaw County
1025,1,25,23622,Alabama,Clarke County
1027,1,27,13235,Alabama,Clay County
1029,1,29,14910,Alabama,Cleburne County
1031,1,31,52342,Alabama,Coffee County
1033,1,33,55241,Alabama,Colbert County
1035,1,35,12067,Alabama,Conecuh County
1037,1,37,10663,Alabama,Coosa County
1039,1,39,37049,Alabama,Covington County
1041,1,41,13772,Alabama,Crenshaw County
1043,1,43,83768,Alabama,Cullman County
1045,1,45,49172,Alabama,Dale County
1047,1,47,37196,Alabama,Dallas County
1049,1,49,71513,Alabama,DeKalb County
1051,1,51,81209,Alabama,Elmore County
1053,1,53,36633,Alabama,Escambia County
1055,1,55,102268,Alabama,Etowah County
1057,1,57,16302,Alabama,Fayette County
1059,1,59,31362,Alabama,Franklin County
1061,1,61,26271,Alabama,Geneva County
1063,1,63,8111,Alabama,Greene County
1065,1,65,14651,Alabama,Hale County
1067,1,67,17205,Alabama,Henry County
1069,1,69,105882,Alabama,Houston County
1071,1,71,51626,Alabama,Jackson County
1073,1,73,658573,Alabama,Jefferson County
1075,1,75,13805,Alabama,Lamar County
1077,1,77,92729,Alabama,Lauderdale County
1079,1,79,32924,Alabama,Lawrence County
1081,1,81,164542,Alabama,Lee County
1083,1,83,98915,Alabama,Limestone County
1085,1,85,9726,Alabama,Lowndes County
1087,1,87,18068,Alabama,Macon County
1089,1,89,372909,Alabama,Madison County
1091,1,91,18863,Alabama,Marengo County
1093,1,93,29709,Alabama,Marion County
1095,1,95,96774,Alabama,Marshall County
1097,1,97,413210,Alabama,Mobile County
1099,1,99,20733,Alabama,Monroe County
1101,1,101,226486,Alabama,Montgomery County
1103,1,103,119679,Alabama,Morgan County
1105,1,105,8923,Alabama,Perry County
1107,1,107,19930,Alabama,Pickens County
1109,1,109,33114,Alabama,Pike County
1111,1,111,22722,Alabama,Randolph County
1113,1,113,57961,Alabama,Russell County
1115,1,115,89512,Alabama,St. Clair County
1117,1,117,217702,Alabama,Shelby County
1119,1,119,12427,Alabama,Sumter County
1121,1,121,79978,Alabama,Talladega County
1123,1,123,40367,Alabama,Tallapoosa County
1125,1,125,209355,Alabama,Tuscaloosa County
1127,1,127,63521,Alabama,Walker County
1129,1,129,16326,Alabama,Washington County
1131,1,131,10373,Alabama,Wilcox County
1133,1,133,23629,Alabama,Winston County
2000,2,0,731545,Alaska,Alaska
2013,2,13,3337,Alaska,Aleutians East Borough
2016,2,16,5634,Alaska,Aleutians West Census Area
2020,2,20,288000,Alaska,Anchorage Municipality
2050,2,50,18386,Alaska,Bethel Census Area
2060,2,60,836,Alaska,Bristol Bay Borough
2068,2,68,2097,Alaska,Denali Borough
2070,2,70,4916,Alaska,Dillingham Census Area
2090,2,90,96849,Alaska,Fairbanks North Star Borough
2100,2,100,2530,Alaska,Haines Borough
2105,2,105,2148,Alaska,Hoonah-Angoon Census Area
2110,2,110,31974,Alaska,Juneau City and Borough
