votes_dem,votes_gop,state_abbr,county_name,combined_fips
93003,130413,AK,Alaska,2013
93003,130413,AK,Alaska,2016
93003,130413,AK,Alaska,2020
93003,130413,AK,Alaska,2050
93003,130413,AK,Alaska,2060
93003,130413,AK,Alaska,2068
93003,130413,AK,Alaska,2070
93003,130413,AK,Alaska,2090
93003,130413,AK,Alaska,2100
93003,130413,AK,Alaska,2105
93003,130413,AK,Alaska,2110
93003,130413,AK,Alaska,2122
93003,130413,AK,Alaska,2130
93003,130413,AK,Alaska,2150
93003,130413,AK,Alaska,2164
93003,130413,AK,Alaska,2170
93003,130413,AK,Alaska,2180
93003,130413,AK,Alaska,2185
93003,130413,AK,Alaska,2188
93003,130413,AK,Alaska,2195
93003,130413,AK,Alaska,2198
93003,130413,AK,Alaska,2220
93003,130413,AK,Alaska,2230
93003,130413,AK,Alaska,2240
93003,130413,AK,Alaska,2261
93003,130413,AK,Alaska,2270
93003,130413,AK,Alaska,2275
93003,130413,AK,Alaska,2282
93003,130413,AK,Alaska,2290
5908,18110,AL,Autauga County,1001
18409,72780,AL,Baldwin County,1003
4848,5431,AL,Barbour County,1005
1874,6733,AL,Bibb County,1007
2150,22808,AL,Blount County,1009
3530,1139,AL,Bullock County,1011
3716,4891,AL,Butler County,1013
13197,32803,AL,Calhoun County,1015
5763,7803,AL,Chambers County,1017
1524,8809,AL,Cherokee County,1019
2909,15068,AL,Chilton County,1021
3109,4102,AL,Choctaw County,1023
5712,7109,AL,Clarke County,1025
1234,5230,AL,Clay County,1027
684,5738,AL,Cleburne County,1029
4194,15825,AL,Coffee County,1031
7296,16718,AL,Colbert County,1033
3069,3413,AL,Conecuh County,1035
1780,3376,AL,Coosa County,1037
2379,13222,AL,Covington County,1039
1663,4511,AL,Crenshaw County,1041
3730,32734,AL,Cullman County,1043
4408,13798,AL,Dale County,1045
12826,5784,AL,Dallas County,1047
3682,21779,AL,DeKalb County,1049
8436,27619,AL,Elmore County,1051
4698,10282,AL,Escambia County,1053
10350,32132,AL,Etowah County,1055
1358,6705,AL,Fayette County,1057
2197,9466,AL,Franklin County,1059
1522,9967,AL,Geneva County,1061
4006,838,AL,Greene County,1063
4772,3172,AL,Hale County,1065
2286,5623,AL,Henry County,1067
10547,30567,AL,Houston County,1069
3663,16643,AL,Jackson County,1071
151581,130614,AL,Jefferson County,1073
1035,5819,AL,Lamar County,1075
9877,27735,AL,Lauderdale County,1077
3611,10732,AL,Lawrence County,1079
20987,34321,AL,Lee County,1081
9340,28824,AL,Limestone County,1083
4882,1751,AL,Lowndes County,1085
7237,1394,AL,Macon County,1087
62435,89199,AL,Madison County,1089
5607,5224,AL,Marengo County,1091
1432,11273,AL,Marion County,1093
4913,29217,AL,Marshall County,1095
68429,91087,AL,Mobile County,1097
4310,5771,AL,Monroe County,1099
58669,33928,AL,Montgomery County,1101
11216,37392,AL,Morgan County,1103
3823,1403,AL,Perry County,1105
3972,5454,AL,Pickens County,1107
5039,7681,AL,Pike County,1109
2290,7697,AL,Randolph County,1111
9577,9210,AL,Russell County,1113
22927,72846,AL,Shelby County,1117
5550,31579,AL,St. Clair County,1115
4739,1581,AL,Sumter County,1119
12108,20596,AL,Talladega County,1121
5271,12967,AL,Tallapoosa County,1123
31746,47701,AL,Tuscaloosa County,1125
4486,24208,AL,Walker County,1127
2366,6031,AL,Washington County,1129
4329,1737,AL,Wilcox County,1131
871,9225,AL,Winston County,1133
1939,3825,AR,Arkansas County,5001
2408,5338,AR,Ashley County,5003
4163,14655,AR,Baxter County,5005
27894,60751,AR,Benton County,5007
2925,12225,AR,Boone County,5009
1317,2163,AR,Bradley County,5011
636,1554,AR,Calhoun County,5013
3334,6773,AR,Carroll County,5015
2350,1716,AR,Chicot County,5017
3606,4398,AR,Clark County,5019
1999,3779,AR,Clay County,5021
2101,9454,AR,Cleburne County,5023
723,2460,AR,Cleveland County,5025
3140,5456,AR,Columbia County,5027
2655,4844,AR,Conway County,5029
10474,22798,AR,Craighead County,5031
4476,16655,AR,Crawford County,5033
8368,6953,AR,Crittenden County,5035
1995,4577,AR,Cross County,5037
1165,1507,AR,Dallas County,5039
2227,1915,AR,Desha County,5041
2364,3967,AR,Drew County,5043
14525,29170,AR,Faulkner County,5045
1376,5034,AR,Franklin County,5047
1067,3470,AR,Fulton County,5049
12283,26053,AR,Garland County,5051
1407,5160,AR,Grant County,5053
3056,10698,AR,Greene County,5055
2371,4391,AR,Hempstead County,5057
3137,8153,AR,Hot Spring County,5059
1350,3155,AR,Howard County,5061
2878,9925,AR,Independence County,5063
1111,4042,AR,Izard County,5065
1583,3262,AR,Jackson County,5067
15721,9231,AR,Jefferson County,5069
2421,6072,AR,Johnson County,5071
1028,1750,AR,Lafayette County,5073
1263,4064,AR,Lawrence County,5075
1735,1229,AR,Lee County,5077
1252,2455,AR,Lincoln County,5079
1397,3604,AR,Little River County,5081
1712,5737,AR,Logan County,5083
5638,19902,AR,Lonoke County,5085
1587,4917,AR,Madison County,5087
1377,5077,AR,Marion County,5089
4273,11293,AR,Miller County,5091
5621,6988,AR,Mississippi County,5093
1298,1400,AR,Monroe County,5095
